Comunidad,Año,Mes,Numero Paradas
Islas Baleares,2007,Octubre,37100
Canarias,2007,Octubre,137259
Cantabria,2007,Octubre,20139
Aragón,2007,Octubre,36585
Comunidad Foral de Navarra,2007,Octubre,20223
Galicia,2007,Octubre,146371
Melilla,2007,Octubre,6311
Región de Murcia,2007,Octubre,48669
Andalucía,2007,Octubre,499984
La Rioja,2007,Octubre,9994
País Vasco,2007,Octubre,73741
Comunidad Valenciana,2007,Octubre,202645
Ceuta,2007,Octubre,6747
Cataluña,2007,Octubre,258012
Castilla-La Mancha,2007,Octubre,91355
Extremadura,2007,Septiembre,74703
Principado de Asturias,2007,Septiembre,46972
Castilla y León,2007,Septiembre,100329
Comunidad de Madrid,2007,Septiembre,220372
Islas Baleares,2007,Septiembre,31221
Canarias,2007,Septiembre,133912
Cantabria,2007,Septiembre,19061
Aragón,2007,Septiembre,35385
Comunidad Foral de Navarra,2007,Septiembre,20011
Galicia,2007,Septiembre,140960
Melilla,2007,Septiembre,6253
Región de Murcia,2007,Septiembre,47807
Andalucía,2007,Septiembre,498746
La Rioja,2007,Septiembre,9672
País Vasco,2007,Septiembre,73448
Comunidad Valenciana,2007,Septiembre,203895
Ceuta,2007,Septiembre,6610
Cataluña,2007,Septiembre,258234
Castilla-La Mancha,2007,Septiembre,89772
Extremadura,2008,Abril,79483
Principado de Asturias,2008,Abril,52037
Castilla y León,2008,Abril,119983
Comunidad de Madrid,2008,Abril,259611
Islas Baleares,2008,Abril,41233
Canarias,2008,Abril,166241
Cantabria,2008,Abril,23934
Aragón,2008,Abril,42402
Comunidad Foral de Navarra,2008,Abril,22968
Galicia,2008,Abril,159749
Melilla,2008,Abril,8443
Región de Murcia,2008,Abril,59923
Andalucía,2008,Abril,545519
La Rioja,2008,Abril,12138
País Vasco,2008,Abril,81705
Comunidad Valenciana,2008,Abril,249027
Ceuta,2008,Abril,7349
Cataluña,2008,Abril,299387
Castilla-La Mancha,2008,Abril,107385
Extremadura,2008,Agosto,83947
Principado de Asturias,2008,Agosto,47682
Castilla y León,2008,Agosto,115116
Comunidad de Madrid,2008,Agosto,279234
Islas Baleares,2008,Agosto,43540
Canarias,2008,Agosto,176339
Cantabria,2008,Agosto,22881
Aragón,2008,Agosto,46185
Comunidad Foral de Navarra,2008,Agosto,24458
Galicia,2008,Agosto,152437
Melilla,2008,Agosto,6848
Región de Murcia,2008,Agosto,74199
Andalucía,2008,Agosto,613911
La Rioja,2008,Agosto,12357
País Vasco,2008,Agosto,81910
Comunidad Valenciana,2008,Agosto,285660
Ceuta,2008,Agosto,7730
Cataluña,2008,Agosto,342082
Castilla-La Mancha,2008,Agosto,113485
Extremadura,2008,Diciembre,97574
Principado de Asturias,2008,Diciembre,63614
Castilla y León,2008,Diciembre,150545
Comunidad de Madrid,2008,Diciembre,345333
Islas Baleares,2008,Diciembre,73298
Canarias,2008,Diciembre,202993
Cantabria,2008,Diciembre,33771
Aragón,2008,Diciembre,67266
Comunidad Foral de Navarra,2008,Diciembre,32956
Galicia,2008,Diciembre,189903
Melilla,2008,Diciembre,7709
Región de Murcia,2008,Diciembre,90956
Andalucía,2008,Diciembre,719378
La Rioja,2008,Diciembre,16671
País Vasco,2008,Diciembre,100637
Comunidad Valenciana,2008,Diciembre,357824
Ceuta,2008,Diciembre,7486
Cataluña,2008,Diciembre,423232
Castilla-La Mancha,2008,Diciembre,147817
Extremadura,2008,Enero,78934
Principado de Asturias,2008,Enero,54623
Castilla y León,2008,Enero,117479
Comunidad de Madrid,2008,Enero,246797
Islas Baleares,2008,Enero,50518
Canarias,2008,Enero,148560
Cantabria,2008,Enero,23826
Aragón,2008,Enero,41192
Comunidad Foral de Navarra,2008,Enero,23765
Galicia,2008,Enero,161162
Melilla,2008,Enero,7859
Región de Murcia,2008,Enero,56594
Andalucía,2008,Enero,533291
La Rioja,2008,Enero,11599
País Vasco,2008,Enero,81393
Comunidad Valenciana,2008,Enero,233250
Ceuta,2008,Enero,7048
Cataluña,2008,Enero,282897
Castilla-La Mancha,2008,Enero,101138
Extremadura,2008,Febrero,79218
Principado de Asturias,2008,Febrero,54371
Castilla y León,2008,Febrero,119405
Comunidad de Madrid,2008,Febrero,255339
Islas Baleares,2008,Febrero,48335
Canarias,2008,Febrero,154109
