TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Fuengirola;1.-DELITOS Y FALTAS (EU);1637;1343;-18
Municipio de Fuengirola;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Fuengirola;3.-DELINCUENCIA VIOLENTA (EU);97;73;-24,7
Municipio de Fuengirola;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);71;49;-31
Municipio de Fuengirola;4.-ROBOS CON FUERZA;184;157;-14,7
Municipio de Fuengirola;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);78;52;-33,3
Municipio de Fuengirola;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);61;44;-27,9
Municipio de Fuengirola;6.-TRÁFICO DE DROGAS (EU);12;26;116,7
Municipio de Fuengirola;7.-DAÑOS;168;123;-26,8
Municipio de Fuengirola;8.-HURTOS;743;509;-31,5
Municipio de Málaga;1.-DELITOS Y FALTAS (EU);7281;6670;-8,4
Municipio de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Málaga;3.-DELINCUENCIA VIOLENTA (EU);282;253;-10,3
Municipio de Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);204;201;-1,5
Municipio de Málaga;4.-ROBOS CON FUERZA;946;733;-22,5
Municipio de Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);229;148;-35,4
Municipio de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);242;207;-14,5
Municipio de Málaga;6.-TRÁFICO DE DROGAS (EU);65;64;-1,5
Municipio de Málaga;7.-DAÑOS;626;457;-27
Municipio de Málaga;8.-HURTOS;2874;2860;-0,5
Municipio de Marbella;1.-DELITOS Y FALTAS (EU);2707;2200;-18,7
Municipio de Marbella;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Marbella;3.-DELINCUENCIA VIOLENTA (EU);79;83;5,1
Municipio de Marbella;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);55;66;20
Municipio de Marbella;4.-ROBOS CON FUERZA;424;391;-7,8
Municipio de Marbella;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);152;121;-20,4
Municipio de Marbella;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);63;83;31,7
Municipio de Marbella;6.-TRÁFICO DE DROGAS (EU);17;10;-41,2
Municipio de Marbella;7.-DAÑOS;274;183;-33,2
Municipio de Marbella;8.-HURTOS;1045;781;-25,3
Municipio de Mijas;1.-DELITOS Y FALTAS (EU);1386;1242;-10,4
Municipio de Mijas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Mijas;3.-DELINCUENCIA VIOLENTA (EU);51;25;-51
Municipio de Mijas;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;20;-52,4
Municipio de Mijas;4.-ROBOS CON FUERZA;348;313;-10,1
Municipio de Mijas;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);180;130;-27,8
Municipio de Mijas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);60;60;0
Municipio de Mijas;6.-TRÁFICO DE DROGAS (EU);5;17;240
Municipio de Mijas;7.-DAÑOS;178;167;-6,2
Municipio de Mijas;8.-HURTOS;378;332;-12,2
Municipio de Vélez-Málaga;1.-DELITOS Y FALTAS (EU);913;704;-22,9
Municipio de Vélez-Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Vélez-Málaga;3.-DELINCUENCIA VIOLENTA (EU);25;15;-40
Municipio de Vélez-Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);12;10;-16,7
