TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Vélez-Málaga;1.-DELITOS Y FALTAS (EU);1317;1286;-2,4
Municipio de Vélez-Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Vélez-Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;25;66,7
Municipio de Vélez-Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);71;39;-45,1
Municipio de Vélez-Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);26;14;-46,2
Municipio de Vélez-Málaga;6.-TRÁFICO DE DROGAS (EU);26;17;-34,6
Municipio de Vélez-Málaga;7.-DAÑOS;190;143;-24,7
Municipio de Vélez-Málaga;8.-HURTOS;393;437;11,2
Municipio de Torremolinos;1.-DELITOS Y FALTAS (EU);2337;2234;-4,4
Municipio de Torremolinos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Torremolinos;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);48;42;-12,5
Municipio de Torremolinos;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);66;56;-15,2
Municipio de Torremolinos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;44;-6,4
Municipio de Torremolinos;6.-TRÁFICO DE DROGAS (EU);26;36;38,5
Municipio de Torremolinos;7.-DAÑOS;254;218;-14,2
Municipio de Torremolinos;8.-HURTOS;849;872;2,7
Provincia de Sevilla;1.-DELITOS Y FALTAS (EU);43670;41021;-6,1
Provincia de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;6;0,0
Provincia de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1141;1272;11,5
Provincia de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1754;1677;-4,4
Provincia de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1003;986;-1,7
Provincia de Sevilla;6.-TRÁFICO DE DROGAS (EU);141;196;39,0
Provincia de Sevilla;7.-DAÑOS;3950;3652;-7,5
Provincia de Sevilla;8.-HURTOS;15127;14954;-1,1
Municipio de Alcalá de Guadaíra;1.-DELITOS Y FALTAS (EU);2207;1975;-10,5
Municipio de Alcalá de Guadaíra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Alcalá de Guadaíra;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);22;21;-4,5
Municipio de Alcalá de Guadaíra;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);124;129;4,0
Municipio de Alcalá de Guadaíra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);45;44;-2,2
Municipio de Alcalá de Guadaíra;6.-TRÁFICO DE DROGAS (EU);7;5;-28,6
Municipio de Alcalá de Guadaíra;7.-DAÑOS;229;218;-4,8
Municipio de Alcalá de Guadaíra;8.-HURTOS;644;650;0,9
Municipio de Dos Hermanas;1.-DELITOS Y FALTAS (EU);2533;2254;-11,0
Municipio de Dos Hermanas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Dos Hermanas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);61;53;-13,1
Municipio de Dos Hermanas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);71;73;2,8
Municipio de Dos Hermanas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);68;58;-14,7
Municipio de Dos Hermanas;6.-TRÁFICO DE DROGAS (EU);7;18;157,1
Municipio de Dos Hermanas;7.-DAÑOS;318;274;-13,8
Municipio de Dos Hermanas;8.-HURTOS;847;746;-11,9
Municipio de Sevilla;1.-DELITOS Y FALTAS (EU);23506;22377;-4,8
Municipio de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
Municipio de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);865;938;8,4
