TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
CIUDAD AUT‡NOMA DE CEUTA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);165;223;35,2
CIUDAD AUT‡NOMA DE CEUTA;4.-ROBOS CON FUERZA;667;615;-7,8
CIUDAD AUT‡NOMA DE CEUTA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);115;80;-30,4
CIUDAD AUT‡NOMA DE CEUTA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);653;403;-38,3
CIUDAD AUT‡NOMA DE CEUTA;6.-TRµFICO DE DROGAS (EU);1417;894;-36,9
CIUDAD AUT‡NOMA DE CEUTA;7.-DA•OS;486;416;-14,4
CIUDAD AUT‡NOMA DE CEUTA;8.-HURTOS;1243;1260;1,4
CIUDAD AUT‡NOMA DE MELILLA;1.-DELITOS Y FALTAS (EU);4639;4696;1,2
CIUDAD AUT‡NOMA DE MELILLA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;1;-75,0
CIUDAD AUT‡NOMA DE MELILLA;3.-DELINCUENCIA VIOLENTA (EU);356;428;20,2
CIUDAD AUT‡NOMA DE MELILLA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);256;295;15,2
CIUDAD AUT‡NOMA DE MELILLA;4.-ROBOS CON FUERZA;592;668;12,8
CIUDAD AUT‡NOMA DE MELILLA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);103;82;-20,4
CIUDAD AUT‡NOMA DE MELILLA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);191;221;15,7
CIUDAD AUT‡NOMA DE MELILLA;6.-TRµFICO DE DROGAS (EU);167;206;23,4
CIUDAD AUT‡NOMA DE MELILLA;7.-DA•OS;363;327;-9,9
CIUDAD AUT‡NOMA DE MELILLA;8.-HURTOS;1250;1192;-4,6
Ciudad Real;1.-DELITOS Y FALTAS (EU);15837;15028;-5,1
Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;7;133,3
Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);466;412;-11,6
Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);304;266;-12,5
Ciudad Real;4.-ROBOS CON FUERZA;3271;3177;-2,9
Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1063;881;-17,1
Ciudad Real;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);219;180;-17,8
Ciudad Real;6.-TRµFICO DE DROGAS (EU);108;143;32,4
Ciudad Real;7.-DA•OS;1791;1775;-0,9
Ciudad Real;8.-HURTOS;4038;3834;-5,1
COMUNITAT VALENCIANA;1.-DELITOS Y FALTAS (EU);277917;260288;-6,3
COMUNITAT VALENCIANA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);51;32;-37,3
COMUNITAT VALENCIANA;3.-DELINCUENCIA VIOLENTA (EU);12672;11269;-11,1
COMUNITAT VALENCIANA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);10643;9141;-14,1
COMUNITAT VALENCIANA;4.-ROBOS CON FUERZA;59885;53803;-10,2
COMUNITAT VALENCIANA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);25388;23665;-6,8
COMUNITAT VALENCIANA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);5986;5119;-14,5
COMUNITAT VALENCIANA;6.-TRµFICO DE DROGAS (EU);1494;1872;25,3
COMUNITAT VALENCIANA;7.-DA•OS;35361;31442;-11,1
COMUNITAT VALENCIANA;8.-HURTOS;88359;84869;-3,9
C¢rdoba;1.-DELITOS Y FALTAS (EU);29516;28713;-2,7
C¢rdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;5;150,0
C¢rdoba;3.-DELINCUENCIA VIOLENTA (EU);1154;1030;-10,7
C¢rdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);962;857;-10,9
C¢rdoba;4.-ROBOS CON FUERZA;5534;5307;-4,1
C¢rdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1545;1553;0,5
