TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Municipio de Jaén;6.-TRÁFICO DE DROGAS (EU);16;8;-50,0
Municipio de Jaén;7.-DAÑOS;591;610;3,2
Municipio de Jaén;8.-HURTOS;1625;1566;-3,6
Municipio de Linares;1.-DELITOS Y FALTAS (EU);2281;1962;-14,0
Municipio de Linares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Linares;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);71;64;-9,9
Municipio de Linares;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);116;84;-27,6
Municipio de Linares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);33;36;9,1
Municipio de Linares;6.-TRÁFICO DE DROGAS (EU);11;8;-27,3
Municipio de Linares;7.-DAÑOS;253;285;12,6
Municipio de Linares;8.-HURTOS;805;654;-18,8
Provincia de Málaga;1.-DELITOS Y FALTAS (EU);78076;76303;-2,3
Provincia de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);18;17;-5,6
Provincia de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1758;1548;-11,9
Provincia de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);4198;3776;-10,1
Provincia de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2236;2539;13,6
Provincia de Málaga;6.-TRÁFICO DE DROGAS (EU);808;774;-4,2
Provincia de Málaga;7.-DAÑOS;7201;7036;-2,3
Provincia de Málaga;8.-HURTOS;28416;28667;0,9
Municipio de Benalmádena;1.-DELITOS Y FALTAS (EU);4410;4201;-4,7
Municipio de Benalmádena;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Benalmádena;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);69;58;-15,9
Municipio de Benalmádena;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);209;173;-17,2
Municipio de Benalmádena;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);95;158;66,3
Municipio de Benalmádena;6.-TRÁFICO DE DROGAS (EU);24;26;8,3
Municipio de Benalmádena;7.-DAÑOS;541;481;-11,1
Municipio de Benalmádena;8.-HURTOS;1638;1564;-4,5
Municipio de Estepona;1.-DELITOS Y FALTAS (EU);3422;3402;-0,6
Municipio de Estepona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Estepona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);56;44;-21,4
Municipio de Estepona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);313;259;-17,3
Municipio de Estepona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);119;121;1,7
Municipio de Estepona;6.-TRÁFICO DE DROGAS (EU);50;48;-4,0
Municipio de Estepona;7.-DAÑOS;390;388;-0,5
Municipio de Estepona;8.-HURTOS;996;1016;2,0
Municipio de Fuengirola;1.-DELITOS Y FALTAS (EU);6253;5974;-4,5
Municipio de Fuengirola;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Fuengirola;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);216;149;-31,0
Municipio de Fuengirola;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);242;170;-29,8
Municipio de Fuengirola;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);216;209;-3,2
Municipio de Fuengirola;6.-TRÁFICO DE DROGAS (EU);82;84;2,4
Municipio de Fuengirola;7.-DAÑOS;594;504;-15,2
Municipio de Fuengirola;8.-HURTOS;2562;2729;6,5
Municipio de Málaga;1.-DELITOS Y FALTAS (EU);26988;25505;-5,5
Municipio de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;2;-50,0
Municipio de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);724;661;-8,7
Municipio de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);623;543;-12,8
Municipio de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);785;827;5,4
Municipio de Málaga;6.-TRÁFICO DE DROGAS (EU);267;251;-6,0
Municipio de Málaga;7.-DAÑOS;1773;1742;-1,7
Municipio de Málaga;8.-HURTOS;11780;11536;-2,1
Municipio de Marbella;1.-DELITOS Y FALTAS (EU);10186;10805;6,1
