TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
Provincia de Segovia;4.-ROBOS CON FUERZA;535;472;-11,8
Provincia de Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);228;185;-18,9
Provincia de Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);27;18;-33,3
Provincia de Segovia;6.-TRÁFICO DE DROGAS (EU);15;14;-6,7
Provincia de Segovia;7.-DAÑOS;392;371;-5,4
Provincia de Segovia;8.-HURTOS;718;669;-6,8
Provincia de Soria;1.-DELITOS Y FALTAS (EU);1422;1268;-10,8
Provincia de Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Soria;3.-DELINCUENCIA VIOLENTA (EU);36;31;-13,9
Provincia de Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);16;15;-6,3
Provincia de Soria;4.-ROBOS CON FUERZA;215;194;-9,8
Provincia de Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);45;60;33,3
Provincia de Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);11;13;18,2
Provincia de Soria;6.-TRÁFICO DE DROGAS (EU);4;8;100
Provincia de Soria;7.-DAÑOS;239;173;-27,6
Provincia de Soria;8.-HURTOS;407;382;-6,1
Provincia de Valladolid;1.-DELITOS Y FALTAS (EU);10045;10243;2
Provincia de Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Provincia de Valladolid;3.-DELINCUENCIA VIOLENTA (EU);194;178;-8,2
Provincia de Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);117;105;-10,3
Provincia de Valladolid;4.-ROBOS CON FUERZA;1532;1477;-3,6
Provincia de Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);375;391;4,3
Provincia de Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);90;85;-5,6
Provincia de Valladolid;6.-TRÁFICO DE DROGAS (EU);29;41;41,4
Provincia de Valladolid;7.-DAÑOS;1378;1259;-8,6
Provincia de Valladolid;8.-HURTOS;3658;4092;11,9
Provincia de Zamora;1.-DELITOS Y FALTAS (EU);2335;2349;0,6
Provincia de Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200
Provincia de Zamora;3.-DELINCUENCIA VIOLENTA (EU);51;58;13,7
Provincia de Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);31;38;22,6
Provincia de Zamora;4.-ROBOS CON FUERZA;400;414;3,5
Provincia de Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);88;105;19,3
Provincia de Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);31;32;3,2
Provincia de Zamora;6.-TRÁFICO DE DROGAS (EU);16;13;-18,8
Provincia de Zamora;7.-DAÑOS;272;280;2,9
Provincia de Zamora;8.-HURTOS;682;728;6,7
CASTILLA Y LEON;1.-DELITOS Y FALTAS (EU);41051;39819;-3
CASTILLA Y LEON;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;15;114,3
CASTILLA Y LEON;3.-DELINCUENCIA VIOLENTA (EU);903;906;0,3
CASTILLA Y LEON;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);510;589;15,5
CASTILLA Y LEON;4.-ROBOS CON FUERZA;6573;6495;-1,2
CASTILLA Y LEON;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1934;1973;2
CASTILLA Y LEON;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);458;392;-14,4
CASTILLA Y LEON;6.-TRÁFICO DE DROGAS (EU);146;166;13,7
CASTILLA Y LEON;7.-DAÑOS;5955;5254;-11,8
CASTILLA Y LEON;8.-HURTOS;13575;14176;4,4
Provincia de Albacete;1.-DELITOS Y FALTAS (EU);6896;7095;2,9
Provincia de Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200
Provincia de Albacete;3.-DELINCUENCIA VIOLENTA (EU);226;266;17,7
Provincia de Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);156;177;13,5
Provincia de Albacete;4.-ROBOS CON FUERZA;1306;1431;9,6
Provincia de Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);449;472;5,1
Provincia de Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);110;95;-13,6
Provincia de Albacete;6.-TRÁFICO DE DROGAS (EU);28;36;28,6
Provincia de Albacete;7.-DAÑOS;752;805;7
Provincia de Albacete;8.-HURTOS;2226;2385;7,1
Provincia de Ciudad Real;1.-DELITOS Y FALTAS (EU);7895;7564;-4,2
Provincia de Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;6;200
Provincia de Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);212;182;-14,2
Provincia de Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);141;119;-15,6
Provincia de Ciudad Real;4.-ROBOS CON FUERZA;1668;1783;6,9
Provincia de Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);570;531;-6,8
Provincia de Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);121;100;-17,4
Provincia de Ciudad Real;6.-TRÁFICO DE DROGAS (EU);32;54;68,8
Provincia de Ciudad Real;7.-DAÑOS;964;875;-9,2
Provincia de Ciudad Real;8.-HURTOS;1901;1904;0,2
Provincia de Cuenca;1.-DELITOS Y FALTAS (EU);3113;2897;-6,9
Provincia de Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Cuenca;3.-DELINCUENCIA VIOLENTA (EU);68;71;4,4
Provincia de Cuenca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;46;39,4
Provincia de Cuenca;4.-ROBOS CON FUERZA;673;703;4,5
Provincia de Cuenca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);232;234;0,9
