TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
Palmas (Las);7.-DAÑOS;3669;3353;-8,6
Palmas (Las);8.-HURTOS;12195;12679;4,0
Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);34264;32961;-3,8
Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;6;50,0
Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);1040;1049;0,9
Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);612;604;-1,3
Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;5852;5371;-8,2
Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1620;1587;-2,0
Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);763;703;-7,9
Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);209;201;-3,8
Santa Cruz de Tenerife;7.-DAÑOS;2966;2770;-6,6
Santa Cruz de Tenerife;8.-HURTOS;11636;12157;4,5
CANARIAS;1.-DELITOS Y FALTAS (EU);73527;70853;-3,6
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;10;-16,7
CANARIAS;3.-DELINCUENCIA VIOLENTA (EU);2428;2292;-5,6
CANARIAS;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1481;1389;-6,2
CANARIAS;4.-ROBOS CON FUERZA;10983;10465;-4,7
CANARIAS;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3142;3090;-1,7
CANARIAS;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1600;1425;-10,9
CANARIAS;6.-TRÁFICO DE DROGAS (EU);475;483;1,7
CANARIAS;7.-DAÑOS;6635;6123;-7,7
CANARIAS;8.-HURTOS;23831;24836;4,2
CANTABRIA;1.-DELITOS Y FALTAS (EU);14089;13027;-7,5
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200,0
CANTABRIA;3.-DELINCUENCIA VIOLENTA (EU);560;514;-8,2
CANTABRIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);325;295;-9,2
CANTABRIA;4.-ROBOS CON FUERZA;2100;1788;-14,9
CANTABRIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);705;610;-13,5
CANTABRIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);264;197;-25,4
CANTABRIA;6.-TRÁFICO DE DROGAS (EU);81;64;-21,0
CANTABRIA;7.-DAÑOS;1560;1282;-17,8
CANTABRIA;8.-HURTOS;4591;4594;0,1
Ávila;1.-DELITOS Y FALTAS (EU);4261;4263;0,0
Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Ávila;3.-DELINCUENCIA VIOLENTA (EU);87;69;-20,7
Ávila;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);52;40;-23,1
Ávila;4.-ROBOS CON FUERZA;767;877;14,3
